label,candidate_a_f1,pytorch_fp32_precision,pytorch_fp32_recall,pytorch_fp32_f1,onnx_fp32_f1,onnx_int8_precision,onnx_int8_recall,onnx_int8_f1,int8_vs_pytorch_f1
admiration,0.625475,0.684404,0.740079,0.711153,0.711153,0.690167,0.738095,0.713327,0.002174
amusement,0.793919,0.757764,0.924242,0.832765,0.832765,0.743202,0.931818,0.826891,-0.005874
anger,0.419811,0.552326,0.479798,0.513514,0.513514,0.547619,0.464646,0.502732,-0.010782
annoyance,0.319742,0.293249,0.434375,0.350126,0.350126,0.296774,0.431250,0.351592,0.001466
approval,0.308081,0.394009,0.487179,0.435669,0.435669,0.403341,0.481481,0.438961,0.003292
caring,0.274627,0.360000,0.466667,0.406452,0.406452,0.365714,0.474074,0.412903,0.006451
confusion,0.388350,0.390476,0.535948,0.451791,0.451791,0.376147,0.535948,0.442049,-0.009742
curiosity,0.391586,0.458696,0.742958,0.567204,0.567204,0.460554,0.760563,0.573705,0.006501
disappointment,0.228029,0.302083,0.384106,0.338192,0.338192,0.322034,0.377483,0.347561,0.009369
disapproval,0.324937,0.390671,0.501873,0.439344,0.439344,0.368732,0.468165,0.412541,-0.026803
disgust,0.472362,0.593023,0.414634,0.488038,0.488038,0.627907,0.439024,0.516746,0.028708
excitement,0.360000,0.533333,0.388350,0.449438,0.449438,0.534247,0.378641,0.443182,-0.006256
fear,0.654545,0.619565,0.730769,0.670588,0.670588,0.640449,0.730769,0.682635,0.012047
gratitude,0.900433,0.948640,0.892045,0.919473,0.919473,0.951220,0.886364,0.917647,-0.001826
joy,0.566474,0.661765,0.559006,0.606061,0.606061,0.666667,0.571429,0.615385,0.009324
love,0.769857,0.725753,0.911765,0.808194,0.808194,0.726667,0.915966,0.810409,0.002215
neutral,0.664071,0.618905,0.809737,0.701576,0.701576,0.619870,0.803022,0.699659,-0.001917
optimism,0.577259,0.661017,0.419355,0.513158,0.513158,0.675214,0.424731,0.521452,0.008294
remorse,0.657343,0.556962,0.785714,0.651852,0.651852,0.550000,0.785714,0.647059,-0.004793
sadness,0.490566,0.483721,0.666667,0.560647,0.560647,0.482927,0.634615,0.548476,-0.012171
surprise,0.442244,0.583851,0.666667,0.622517,0.622517,0.596026,0.638298,0.616438,-0.006079
