label,precision,recall,f1,support
admiration,0.690167,0.738095,0.713327,504
amusement,0.743202,0.931818,0.826891,264
anger,0.547619,0.464646,0.502732,198
annoyance,0.296774,0.43125,0.351592,320
approval,0.403341,0.481481,0.438961,351
caring,0.365714,0.474074,0.412903,135
confusion,0.376147,0.535948,0.442049,153
curiosity,0.460554,0.760563,0.573705,284
disappointment,0.322034,0.377483,0.347561,151
disapproval,0.368732,0.468165,0.412541,267
disgust,0.627907,0.439024,0.516746,123
excitement,0.534247,0.378641,0.443182,103
fear,0.640449,0.730769,0.682635,78
gratitude,0.95122,0.886364,0.917647,352
joy,0.666667,0.571429,0.615385,161
love,0.726667,0.915966,0.810409,238
neutral,0.61987,0.803022,0.699659,1787
optimism,0.675214,0.424731,0.521452,186
remorse,0.55,0.785714,0.647059,56
sadness,0.482927,0.634615,0.548476,156
surprise,0.596026,0.638298,0.616438,141
