label,train_count,dev_count,test_count,precision,recall,f1,support
admiration,4130,488,504,0.458015,0.595238,0.517688,504
amusement,2328,303,264,0.738095,0.704545,0.72093,264
anger,1567,195,198,0.348548,0.424242,0.382688,198
annoyance,2470,303,320,0.189635,0.503125,0.275449,320
approval,2939,397,351,0.230146,0.404558,0.293388,351
caring,1087,153,135,0.206704,0.548148,0.300203,135
confusion,1368,152,153,0.158482,0.464052,0.236273,153
curiosity,2191,248,284,0.357827,0.394366,0.375209,284
disappointment,1269,163,151,0.110075,0.390728,0.171761,151
disapproval,2022,292,267,0.188602,0.520599,0.276892,267
disgust,793,97,123,0.46988,0.317073,0.378641,123
excitement,853,96,103,0.218905,0.427184,0.289474,103
fear,596,90,78,0.342657,0.628205,0.443439,78
gratitude,2662,358,352,0.688222,0.846591,0.759236,352
joy,1452,172,161,0.318681,0.540373,0.400922,161
love,2086,252,238,0.578755,0.663866,0.618395,238
neutral,14219,1766,1787,0.54288,0.761612,0.633908,1787
optimism,1581,209,186,0.36255,0.489247,0.416476,186
remorse,545,68,56,0.4,0.678571,0.503311,56
sadness,1326,143,156,0.345291,0.49359,0.406332,156
surprise,1060,129,141,0.243243,0.319149,0.276074,141
