label,tfidf_f1,minilm_f1,difference
admiration,0.625475,0.517688,-0.107787
amusement,0.793919,0.72093,-0.072989
anger,0.419811,0.382688,-0.037123
annoyance,0.319742,0.275449,-0.044293
approval,0.308081,0.293388,-0.014693
caring,0.274627,0.300203,0.025576
confusion,0.38835,0.236273,-0.152077
curiosity,0.391586,0.375209,-0.016377
disappointment,0.228029,0.171761,-0.056268
disapproval,0.324937,0.276892,-0.048045
disgust,0.472362,0.378641,-0.093721
excitement,0.36,0.289474,-0.070526
fear,0.654545,0.443439,-0.211106
gratitude,0.900433,0.759236,-0.141197
joy,0.566474,0.400922,-0.165552
love,0.769857,0.618395,-0.151462
neutral,0.664071,0.633908,-0.030163
optimism,0.577259,0.416476,-0.160783
remorse,0.657343,0.503311,-0.154032
sadness,0.490566,0.406332,-0.084234
surprise,0.442244,0.276074,-0.16617
