label,train_count,dev_count,test_count,precision,recall,f1,support
admiration,4130,488,504,0.600365,0.652778,0.625475,504
amusement,2328,303,264,0.716463,0.890152,0.793919,264
anger,1567,195,198,0.393805,0.449495,0.419811,198
annoyance,2470,303,320,0.243464,0.465625,0.319742,320
approval,2939,397,351,0.276644,0.347578,0.308081,351
caring,1087,153,135,0.23,0.340741,0.274627,135
confusion,1368,152,153,0.384615,0.392157,0.38835,153
curiosity,2191,248,284,0.362275,0.426056,0.391586,284
disappointment,1269,163,151,0.177778,0.317881,0.228029,151
disapproval,2022,292,267,0.244782,0.483146,0.324937,267
disgust,793,97,123,0.618421,0.382114,0.472362,123
excitement,853,96,103,0.306122,0.436893,0.36,103
fear,596,90,78,0.62069,0.692308,0.654545,78
gratitude,2662,358,352,0.914956,0.886364,0.900433,352
joy,1452,172,161,0.52973,0.608696,0.566474,161
love,2086,252,238,0.747036,0.794118,0.769857,238
neutral,14219,1766,1787,0.562016,0.811416,0.664071,1787
optimism,1581,209,186,0.630573,0.532258,0.577259,186
remorse,545,68,56,0.54023,0.839286,0.657343,56
sadness,1326,143,156,0.59633,0.416667,0.490566,156
surprise,1060,129,141,0.41358,0.475177,0.442244,141
