label,support,predictedCount,precision,recall,f1,TP,FP,FN
admiration,2,1,0.0,0.0,0.0,0,1,2
amusement,7,2,1.0,0.2857142857142857,0.4444444444444444,2,0,5
anger,0,1,0.0,0.0,0.0,0,1,0
annoyance,21,8,0.625,0.23809523809523808,0.3448275862068966,5,3,16
caring,15,7,0.5714285714285714,0.26666666666666666,0.36363636363636365,4,3,11
confusion,1,2,0.0,0.0,0.0,0,2,1
curiosity,2,1,0.0,0.0,0.0,0,1,2
disappointment,4,3,1.0,0.75,0.8571428571428571,3,0,1
disgust,2,0,0.0,0.0,0.0,0,0,2
excitement,8,6,0.5,0.375,0.42857142857142855,3,3,5
fear,10,8,0.5,0.4,0.4444444444444444,4,4,6
gratitude,12,8,0.875,0.5833333333333334,0.7,7,1,5
joy,42,60,0.6166666666666667,0.8809523809523809,0.7254901960784313,37,23,5
love,9,4,0.5,0.2222222222222222,0.3076923076923077,2,2,7
optimism,12,14,0.5,0.5833333333333334,0.5384615384615384,7,7,5
remorse,2,1,0.0,0.0,0.0,0,1,2
sadness,11,15,0.6,0.8181818181818182,0.6923076923076923,9,6,2
surprise,5,3,1.0,0.6,0.75,3,0,2
