label,missing_clear_count,share_of_88,canonical_train_positive_support,missing_as_fraction_of_train_support
admiration,2,0.022727272727272728,18,0.1111111111111111
amusement,4,0.045454545454545456,43,0.09302325581395349
anger,3,0.03409090909090909,14,0.21428571428571427
annoyance,3,0.03409090909090909,77,0.03896103896103896
caring,11,0.125,34,0.3235294117647059
confusion,5,0.056818181818181816,15,0.3333333333333333
curiosity,9,0.10227272727272728,8,1.125
disappointment,10,0.11363636363636363,45,0.2222222222222222
disgust,1,0.011363636363636364,24,0.041666666666666664
excitement,2,0.022727272727272728,24,0.08333333333333333
fear,6,0.06818181818181818,39,0.15384615384615385
gratitude,2,0.022727272727272728,71,0.028169014084507043
joy,1,0.011363636363636364,224,0.004464285714285714
love,4,0.045454545454545456,36,0.1111111111111111
optimism,12,0.13636363636363635,49,0.24489795918367346
remorse,2,0.022727272727272728,24,0.08333333333333333
sadness,5,0.056818181818181816,64,0.078125
surprise,6,0.06818181818181818,29,0.20689655172413793
