label,missing_clear_added_to_train,plausible_masked,dev_prediction_count_before,dev_prediction_count_after,gained_true_positive,gained_false_positive,lost_true_positive,lost_false_positive,dev_f1_before,dev_f1_after,dev_f1_delta
admiration,2,2,1,2,0,1,0,0,0.0,0.0,0.0
amusement,4,7,1,1,0,0,0,0,0.25,0.25,0.0
anger,3,5,1,1,0,0,0,0,0.0,0.0,0.0
annoyance,3,4,8,8,0,0,0,0,0.3448275862068966,0.3448275862068966,0.0
caring,11,4,8,9,0,1,0,0,0.34782608695652173,0.3333333333333333,-0.014492753623188415
confusion,5,2,2,2,0,0,0,0,0.0,0.0,0.0
curiosity,9,3,1,1,0,0,0,0,0.0,0.0,0.0
disappointment,10,7,3,5,0,2,0,0,0.8571428571428571,0.6666666666666666,-0.19047619047619047
disgust,1,2,0,0,0,0,0,0,0.0,0.0,0.0
excitement,2,20,4,5,0,1,0,0,0.5,0.46153846153846156,-0.038461538461538436
fear,6,7,8,9,0,1,0,0,0.4444444444444444,0.42105263157894735,-0.023391812865497075
gratitude,2,3,8,7,0,0,1,0,0.7,0.631578947368421,-0.06842105263157894
joy,1,10,58,57,0,0,0,1,0.68,0.6868686868686869,0.006868686868686802
love,4,10,3,4,1,0,0,0,0.16666666666666666,0.3076923076923077,0.14102564102564105
optimism,12,17,13,13,0,0,0,0,0.48,0.48,0.0
remorse,2,1,1,2,0,1,0,0,0.0,0.0,0.0
sadness,5,10,15,19,1,3,0,0,0.6923076923076923,0.6666666666666666,-0.02564102564102566
surprise,6,9,3,4,0,1,0,0,0.75,0.6666666666666666,-0.08333333333333337
