label,finalized_cells,plausible_count,plausible_rate,existing_positive,existing_negative,core_human_disagreement_rate
admiration,53,2,0.03773584905660377,0,2,0.18681318681318682
amusement,84,7,0.08333333333333333,0,7,0.41208791208791207
anger,53,5,0.09433962264150944,0,5,0.15846994535519127
annoyance,37,4,0.10810810810810811,0,4,0.25136612021857924
caring,76,4,0.05263157894736842,0,4,0.40437158469945356
confusion,65,2,0.03076923076923077,0,2,0.2185792349726776
curiosity,94,3,0.031914893617021274,0,3,0.3770491803278688
disappointment,57,7,0.12280701754385964,0,7,0.28415300546448086
disgust,49,2,0.04081632653061224,0,2,0.14207650273224043
excitement,108,20,0.18518518518518517,0,20,0.6120218579234973
fear,62,7,0.11290322580645161,0,7,0.2802197802197802
gratitude,77,3,0.03896103896103896,1,2,0.43169398907103823
joy,44,10,0.22727272727272727,2,8,0.4972677595628415
love,68,10,0.14705882352941177,0,10,0.37158469945355194
optimism,122,17,0.13934426229508196,1,16,0.6174863387978142
remorse,52,1,0.019230769230769232,0,1,0.12021857923497267
sadness,50,10,0.2,1,9,0.3005464480874317
surprise,105,9,0.08571428571428572,0,9,0.5164835164835165
